xeger,Execution Time (ms),Violations (Unique),xeger,Execution Time (ms),Duplicated Traces,Unique Traces
ValgJ,"32,696",246 (1),ValgT,"56,342","681,274","1,730"
Sample average,"44,522","4,202 (1)",Sample average,"164,812","15,784,544","2,205"
QLExpress,Execution Time (ms),Violations (Unique),QLExpress,Execution Time (ms),Duplicated Traces,Unique Traces
ValgJ,"329,412",2 (2),ValgT,"1,106,526","2,237,373","121,419"
Sample average,"362,367",2 (2),Sample average,"1,673,124","66,770,866","134,566"
stringsearchalgo,Execution Time (ms),Violations (Unique),stringsearchalgo,Execution Time (ms),Duplicated Traces,Unique Traces
ValgJ,"131,281",349 (21),ValgT,"288,702","273,454","3,430"
Sample average,"197,513","2,442 (21)",Sample average,"820,812","71,163,387","4,856"
route53-infima,Execution Time (ms),Violations (Unique),route53-infima,Execution Time (ms),Duplicated Traces,Unique Traces
ValgJ,"22,231",8 (8),ValgT,"45,267","858,174",592
Sample average,"29,676",8 (8),Sample average,"73,202","7,105,019",796
choco-graph,Execution Time (ms),Violations (Unique),choco-graph,Execution Time (ms),Duplicated Traces,Unique Traces
ValgJ,"171,232",417 (5),ValgT,"1,106,686","721,624","3,556"
Sample average,"186,698",437 (5),Sample average,"2,237,279","15,159,967","12,424"
java-concurrent-hash..,Execution Time (ms),Violations (Unique),java-concurrent-hash..,Execution Time (ms),Duplicated Traces,Unique Traces
ValgJ,"36,648",270 (7),ValgT,"172,563","10,150","2,228"
Sample average,"36,535","2,791 (7)",Sample average,"180,413","183,116","2,209"
osm-lib,Execution Time (ms),Violations (Unique),osm-lib,Execution Time (ms),Duplicated Traces,Unique Traces
ValgJ,"73,508","21,008 (6)",ValgT,"205,404","709,132","3,160"
Sample average,"80,579",58982 (6),Sample average,"248,401","14,681,752","3,516"
java-uuid-generator,Execution Time (ms),Violations (Unique),java-uuid-generator,Execution Time (ms),Duplicated Traces,Unique Traces
ValgJ,"22,402",2 (2),ValgT,"132,819","62,939",127
Sample average,"39,945",2 (2),Sample average,"290,810","20,836,567",127
bplustree,Execution Time (ms),Violations (Unique),bplustree,Execution Time (ms),Duplicated Traces,Unique Traces
ValgJ,"121,471",11 (6),ValgT,"254,811","174,635",183
Sample average,"172,959",11 (6),Sample average,"567,954","63,527,062",191
rtree-multi,Execution Time (ms),Violations (Unique),rtree-multi,Execution Time (ms),Duplicated Traces,Unique Traces
ValgJ,"101,927",6 (6),ValgT,"141,778","834,119","5,400"
