Project,Test,ValgJ,,ValgJ (online),,ValgJ (offline),,ValgT,,ValgT (online),,ValgT (offline),,Baseline,ValgT,ValgT (online),ValgT (offline),,,
,test_time,time,violation,time,violation,time,violation,time,unique_traces,time,unique_traces,time,unique_traces,unique traces,red_traces,red_traces,red_traces,,,
xeger,"15,077","40,643",1,"47,493",1,"49,145",1,"66,623","2,002","95,475","2,032","87,376","1,926","2,513","919,225","6,370,406","5,106,572",,"25,566","51,546"
javadbf,"12,151","33,146",3,"32,953",3,"37,935",3,"35,384",259,"36,721",267,"38,876",250,278,"7,852","6,250","14,726",,"20,995","23,233"
QLExpress,"24,103","317,693",2,"395,133",2,"321,682",2,"1,001,330","124,606","1,077,172","134,390","948,767","121,157","134,556","2,682,996","13,370,059","4,368,956",,"293,590","977,227"
stringsearchalgorithms,"15,032","121,383",21,"134,443",21,"124,475",21,"198,747","3,343","217,804","3,720","259,653","4,543","4,862","303,669","299,493","335,336",,"106,351","183,715"
almson-refcount,"18,525","33,358",0,"35,026",0,"33,380",0,"33,238",27,"31,456",27,"36,002",27,27,"6,500","10,953","14,723",,"14,833","14,713"
jackson-antpathfilter,"15,340","91,367",0,"90,586",0,"89,759",0,"104,152",374,"117,452",449,"105,776",436,435,"480,167","1,381,562","578,266",,"76,027","88,812"
asterisk-java,"37,078","259,157",5,"254,265",5,"257,766",5,"2,512,046","4,300","2,246,019","4,363","2,512,408","4,347","4,508","20,058","34,108","45,429",,"222,079","2,474,968"
attoparser,"59,557","296,062",0,"258,077",0,"299,350",0,"574,601",797,"525,738",960,"570,238",685,992,"12,760,316","10,132,990","12,342,507",,"236,505","515,044"
route53-infima,"16,933","39,444",8,"40,848",8,"31,546",8,"45,746",607,"45,919",530,"43,729",528,816,"590,564","812,599","905,344",,"22,511","28,813"
SparseBitSet,"15,741","606,896",0,"540,603",0,"142,402",0,"1,975,139","21,498","2,139,095","21,487","1,128,507","6,555","21,495","43,872","48,957","34,896",,"591,155","1,959,398"
choco-graph,"18,980","136,728",5,"138,198",5,"136,411",5,"704,333","3,340","1,253,399","9,168","1,278,754","8,479","12,395","718,751","1,320,773","1,290,466",,"117,748","685,353"
java-concurrent-hash-trie-map,"13,326","38,452",7,"38,778",7,"39,067",7,"140,511","2,111","150,308","2,251","158,176","2,352","2,281","10,338","10,333","53,003",,"25,126","127,185"
time-series-math,"25,418","114,226",6,"123,415",6,"119,151",6,"120,767","29,990","292,779","542,387","269,587","542,398","542,432","73,362","692,894","692,987",,"88,808","95,349"
gramtest,"11,264","69,914",0,"73,918",0,"71,801",0,"89,500",880,"136,185","1,047","110,675","1,033","1,222","897,038","5,391,267","3,790,834",,"58,650","78,236"
osm-lib,"24,159","76,621",6,"84,150",6,"77,888",6,"140,332","3,202","145,447","3,376","137,276","3,131","3,516","723,815","4,045,560","717,369",,"52,462","116,173"
java-uuid-generator,"10,526","26,126",2,"26,050",2,"29,174",2,"72,333",135,"84,095",127,"85,522",127,127,"62,818","270,080","130,369",,"15,600","61,807"
dictomaton,"17,626","133,370",24,"140,028",24,"138,612",24,"231,539","12,418","238,410","13,393","238,069","13,150","13,851","5,545,855","8,798,698","10,585,020",,"115,744","213,913"
bplustree,"208,567","257,574",6,"256,742",6,"260,446",6,"384,420",161,"381,813",185,"305,149",178,191,"171,277","207,608","179,563",,"49,007","175,853"
rtree,"24,676","300,127",18,"308,594",18,"288,734",18,"184,584","1,963","178,671","1,998","179,886","2,264","2,845","1,613,578","1,399,581","1,446,724",,"275,451","159,908"
rtree-multi,"23,562","229,475",6,"202,935",6,"201,814",6,"119,309","5,348","135,970","10,860","144,718","7,141","38,483","835,273","1,847,793","5,573,858",,"205,913","95,747"
rtree2,"18,611","212,799",4,"186,834",4,"190,174",4,"110,704","1,659","119,537","1,735","142,535","1,779","1,823","698,180","2,866,415","7,192,930",,"194,188","92,093"
jpoker,"13,578","72,083",6,"58,718",6,"70,421",6,"155,149","1,663","125,846","1,726","131,552","1,078","1,729","114,002","116,513","115,641",,"58,505","141,571"
cassette-nibbler,"16,060","101,549",2,"107,620",2,"111,414",2,"229,253","2,985","324,722","16,837","260,927","7,246","27,778","312,691","403,564","335,399",,"85,489","213,193"
java-vector-tile,"21,602","88,528",13,"94,586",13,"104,595",13,"790,811","2,032","2,986,310","2,539","3,017,952","2,521","2,697","1,524,937","4,180,706","4,234,751",,"66,926","769,209"
uuid-creator,"37,088","55,984",0,"52,868",0,"53,247",0,"58,741",201,"60,608",208,"59,835",209,209,"97,146","207,806","95,141",,"18,896","21,653"
databuilderframework,"82,415","273,394",3,"290,601",3,"379,975",3,"360,984","1,295","339,547","1,359","384,755","1,275","1,465","2,523,509","5,144,810","8,242,401",,"190,979","278,569"
Fuzzino,"26,568","75,869",15,"75,371",15,"79,657",15,"1,004,247","6,419","970,682","6,728","954,117","6,741","7,007","111,154","198,651","142,055",,"49,301","977,679"
JaroWinklerSimilarity,"28,083","196,459",22,"303,713",22,"279,862",22,"455,118","7,184","1,028,501","11,056","811,705","7,593","11,234","4,117,919","31,110,673","29,484,658",,"168,376","427,035"
progex,"18,253","69,392",4,"78,841",4,"107,014",4,"101,747","28,937","126,691","37,401","121,257","33,132","42,792","1,235,530","3,907,428","5,079,806",,"51,139","83,494"
ASM-NonClassloadingExtensions,"58,786","146,145",2,"145,275",2,"147,114",2,"194,502","14,233","201,225","14,157","203,667","23,387","41,829","3,425,820","3,440,050","3,719,874",,"87,359","135,716"
jlemmagen,"15,533","207,237",3,"180,793",3,"178,515",3,"15,587",765,"15,700","1,400","33,336","1,367","2,072","75,996","153,114","139,969",,"191,704",54
sensitive-word,"16,804","146,065",0,"145,643",0,"142,687",0,"243,991",249,"240,952",295,"250,625",278,312,"306,352","1,055,829","2,743,252",,"129,261","227,187"
jieba-analysis,"21,674","71,288",3,"70,757",3,"77,784",3,"113,914",676,"118,732",863,"137,339",778,"1,096","757,102","1,921,224","4,979,732",,"49,614","92,240"
vowpal-wabbit-java,"86,219","292,976",0,"234,925",0,"283,844",0,"570,817",226,"577,282",268,"628,893",239,280,"550,262","705,671","780,298",,"206,757","484,598"
kiara,"17,579","142,999",1,"133,660",1,"117,394",1,"168,729","22,410","542,833","72,386","562,931","78,292","104,712","248,875","870,935","781,685",,"125,420","151,150"
consistent-hash-algorithm,"20,564","43,945",0,"45,044",0,"45,303",0,"104,540",31,"112,106",31,"102,491",31,31,"25,217","25,098","48,988",,"23,381","83,976"
AnomalyDetectTool,"23,246","48,510",0,"53,105",0,"44,892",0,"88,836",679,"94,672",680,"89,775",683,688,"37,519","10,175","41,801",,"25,264","65,590"
geogrid,"25,269","73,502",0,"72,783",0,"71,767",0,"141,686",69,"149,024",69,"162,487",68,68,"200,487","543,890","1,392,554",,"48,233","116,417"
btree4j,"59,919","101,997",0,"98,198",0,"98,963",0,"272,072",286,"210,925",690,"270,807",547,"1,550","59,244","191,417","104,614",,"42,078","212,153"
ik-analyzer,"17,451","83,671",1,"80,915",1,"85,976",1,"113,216",935,"110,485",935,"119,441",935,929,"895,306","546,371","1,756,322",,"66,220","95,765"
java.math.expression.parser,"23,173","98,632",0,"93,456",0,"91,494",0,"398,962",128,"428,871",125,"431,256",128,135,"160,664","160,420","160,412",,"75,459","375,789"
