ASPECTJ,MONITORING,SPECIFICATION,VALG,RVMONITOR,PROJECT,OTHER,
almson-refcount,387,1,0,0,0,2,8538,
AnomalyDetectTool,2422,1357,1910,0,13700,4474,8083,
ASM-NonClassloadingExtensions,8286,2389,2288,0,18769,8584,14849,
asterisk-java,16213,38740,4637,0,55368,5573,326010,
attoparser,5000,47449,8246,0,224120,26976,145780,
bplustree,1233,2511,6103,0,21869,19713,26730,
btree4j,1855,3556,2961,0,19655,9417,27233,
cassette-nibbler,3019,15893,3490,0,99307,913,116209,
choco-graph,3288,4608,5436,0,56906,3290,162092,
cocolian-nlp,2960,2682,2242,0,19594,2515,11134,
consistent-hash-algorithm,2042,4498,1211,0,24277,1166,21024,
databuilderframework,6591,3081,5228,0,39137,32473,25733,
dictomaton,2624,3809,1892,0,35365,1279,22779,
ef-redis,1420,2643,478,0,8952,32,19863,
finmath-lib,1173,15,4,0,6,136,103,
functional-utils,3543,143,174,0,1571,167,1265,
Fuzzino,7484,5222,538,0,174053,2400,1437,
geogrid,1216,712,1224,0,4208,17767,8160,
gramtest,1988,2741,1851,0,22810,338,8102,
ik-analyzer,1084,1710,969,0,16870,1800,14429,
Jaba,1378,1394,2360,0,14224,1019,14511,
jackcess,4507,7,2,0,11,46,133251,
jackson-antpathfilter,3461,9,4,0,12,31635,4670,
jackson-core,4637,2250,1665,0,18910,5759,17011,
JaroWinklerSimilarity,13300,50457,12083,0,179183,4763,111383,
java-concurrent-hash-trie-map,843,1497,2123,0,11317,6059,7224,
javadbf,986,25,882,0,947,341,394,
java-future-jdk8,61677,352984,358262,0,2733635,63139,33185,
java.math.expression.parser,5540,33448,2335,0,101307,3983,218042,
java-uuid-generator,882,470,485,0,6999,568,14807,
java-vector-tile,4890,5302,1780,0,30346,2004,488933,
jcunit,8443,28921,9955,0,190894,4107,83332,
jieba-analysis,1050,1415,1889,0,13718,1710,14415,
jlemmagen,956,110,59,0,770,140,404,
jpoker,6245,8754,848,0,33794,634,42547,
kiara,4955,11426,8697,0,88914,5231,15114,
orientdb-jdbc,16955,189386,7508,0,820651,14404,255943,
osm-lib,4921,1326,3293,0,10791,2857,10413,
pgs-calc,5251,2185,482,0,20066,113718,41481,
PointCloudUtilities,2402,2896,1543,0,16442,1848,5554,
progex,4914,3532,519,0,17362,655,7345,
QLExpress,9103,16766,2816,0,80539,3804,142717,
route53-infima,1339,522,297,0,5845,223,3398,
rtree2,8771,1376,1116,0,11678,1565,7306,
rtree-multi,8999,1926,1390,0,16291,2049,9608,
rtree,10418,3235,2227,0,26807,2288,16124,
sensitive-word,7249,11006,6497,0,90432,3427,46834,
SparseBitSet,11191,34530,1265,0,226942,1239,127456,
stringsearchalgorithms,4492,5984,3884,0,62442,3528,28185,
time-series-math,9423,1237,3308,0,23452,2571,14498,
TurkishDeasciifier,1692,405,181,0,2174,330,715,
TurkishPropBank,758,1583,376,0,10171,261,12372,
TurkishSentiNet,796,1523,516,0,16681,341,28633,
TurkishSpellChecker,2164,2699,3118,0,20235,3429,23105,
uuid-creator,1945,80,67,0,575,7944,317,
vowpal-wabbit-java,11613,35670,9249,0,150880,19387,238607,
xeger,1334,1581,659,0,10160,1116,5229,
graphstream/gs-algo,3911,50641,270,0,186654,635,81566
apache/commons-graph,3253,5021,613,0,16290,1124,1712
graphstream/gs-core,4703,402,4165,0,1484,3913,4370
palindromicity/simple-syslog,2966,743,235,0,5473,412,3906
andylamp/BPlusTree,1165,740,308,0,7235,147451,2447
JetBrains/jetCheck,1021,414,514,0,6266,581,4053
stackify/stackify-api-java,101734,470,225,0,1831,2774,1805
jenkinsci/cppcheck-plugin,1086,8,6,0,6,34,57
nuxeo/gatling-report,4764,20044,66,0,57878,123,11689
jingpeicomp/id-generator,1612,61361,3659,0,266000,18883,192265
jkff/ire,1434,1184,231,0,8775,333,7822
umbrant/QuantileEstimation,1054,3003,696,0,10566,674,24190
javasoze/kamikaze,2262,1422,1346,0,10892,1196,26811
meanbeanlib/meanbean,7450,4265,165,0,12161,565,121876
genepi/haplogrep3,10345,39401,1873,0,90564,1780,20627
mgormley/pacaya,8290,2879,1279,0,18741,1531,16416
hankcs/AhoCorasickDoubleArrayTrie,2034,2502,2996,0,21530,2456,24709
Quickhull3d/quickhull3d,2245,2720,866,0,12649,408,2757
jbossas/jboss-dmr,6078,22486,4130,0,91641,5819,90163
arnohaase/a-foundation,5957,15074,6542,0,56319,4916,84469
zhkl0228/TraceReader,1077,1222,324,0,7698,1087,5792
OWASP/url-classifier,4644,1787,312,0,9606,1446,9264
lrozenblyum/chess,26485,9400,3410,0,59666,3606,70244
rpgleparser/rpgleparser,6391,3176,1994,0,19059,1810,8606
PeterisP/morphology,19030,27644,10333,0,174211,6515,81641
houbb/segment,2482,659,536,0,5243,491,6124
eaftan/hprof-parser,1245,522,231,0,4630,521,4109
bonnyfone/vectalign,1260,315,107,0,2931,143,2251
yomorun/hashids-java,838,1216,78,0,3170,54,4110
thegedge/java-radix-tree,1475,574,210,0,2617,103,1342
tdunning/bandit-ranking,1670,775,443,0,4774,615,4972
Kuangcp/NettyBook2,552,140,99,0,1848,226,1527
thorstenwagner/TraJ,3407,9111,5317,0,53926,2519,33073
themadcreator/rabinfingerprint,2021,2252,1112,0,10640,1554,2344
casbin/jcasbin,33926,18816,18599,0,125735,31150,112194
