ASPECTJ,MONITORING,SPECIFICATION,VALG,RVMONITOR,PROJECT,OTHER,
almson-refcount,507,0,0,0,0,2,4507,
AnomalyDetectTool,1605,213,2131,7,715,2450,469,
ASM-NonClassloadingExtensions,8384,1178,3176,123,4705,8498,1550,
asterisk-java,14376,157,813,17,425,5111,366,
attoparser,2843,7391,12706,395,18300,11278,3311,
bplustree,1218,1203,12562,40,1237,14148,134,
btree4j,2111,756,3799,29,1138,9267,504,
cassette-nibbler,1090,2152,6941,81,4457,915,100,
choco-graph,3366,1008,7289,62,4142,3227,596,
cocolian-nlp,3106,863,3090,179,4826,1936,1703,
consistent-hash-algorithm,1309,491,1756,41,818,602,70,
databuilderframework,6035,1641,7538,236,14803,22126,3645,
dictomaton,2547,1924,3436,144,10469,1478,4326,
ef-redis,1927,430,878,40,451,97,1785,
finmath-lib,1135,11,10,0,1,130,97,
functional-utils,3513,19,178,1,68,204,104,
Fuzzino,5442,1728,2791,2,1149,1999,186,
geogrid,784,820,3237,16,743,5940,1128,
gramtest,2363,1165,2385,240,4934,299,1324,
ik-analyzer,1196,814,2219,42,6199,1499,2109,
Jaba,1471,1245,4296,59,5542,1590,3107,
jackcess,4846,4,11,0,3,53,23719,
jackson-antpathfilter,3601,12,8,0,3,11463,971,
jackson-core,5317,310,2949,24,1314,5376,514,
JaroWinklerSimilarity,1447,5519,13252,328,18998,3956,4607,
java-concurrent-hash-trie-map,1126,61,1836,2,314,2006,72,
javadbf,1127,138,2236,1,276,217,258,
java-future-jdk8,853,1321,345949,6,12880,106066,4144,
java.math.expression.parser,743,3805,3763,537,4730,2142,81,
java-uuid-generator,949,161,827,14,369,461,1043,
java-vector-tile,3768,695,3553,41,4447,1609,1725,
jcunit,4968,5306,16191,953,34204,2072,9183,
jieba-analysis,1159,1228,2783,85,4061,1061,1557,
jlemmagen,1077,2445,108,3,73,7643,142,
jpoker,4945,651,2675,19,1975,758,252,
kiara,4625,1018,9626,179,3247,2485,326,
orientdb-jdbc,11869,23994,15015,289,40646,8103,12557,
osm-lib,5342,201,3571,20,1317,2301,701,
pgs-calc,5390,387,1166,15,835,16207,437,
PointCloudUtilities,2617,517,2664,35,429,1309,112,
progex,4574,1154,1554,112,3146,618,914,
QLExpress,5833,7050,5713,146,21836,3668,6748,
route53-infima,1164,322,543,27,1802,226,762,
rtree2,9474,493,1927,57,3401,1503,1616,
rtree-multi,8907,825,2217,78,4100,1815,1619,
rtree,10640,1476,3491,196,7167,2364,3135,
sensitive-word,1873,1686,9623,87,8838,2711,1372,
SparseBitSet,589,86155,1724,2,49,1641,85,
stringsearchalgorithms,3807,1210,5092,292,6459,3489,1247,
time-series-math,9059,268,3839,143,3282,3444,416,
TurkishDeasciifier,1871,213894,235,3,256,289,2255,
TurkishMorphologicalDisambiguation,2029,237354,15788,246,13168,7285,5331,
TurkishPropBank,906,304,817,19,959,256,125,
TurkishSentiNet,490,561,1275,66,497,424,108,
TurkishSpellChecker,2073,224934,3936,82,4228,3275,4330,
uuid-creator,1403,602,54,6,16,6861,245,
vowpal-wabbit-java,1756,9468,13400,257,15141,15483,1536,
xeger,1548,697,1461,66,1585,914,191,
graphstream/gs-algo,2614,12311,588,9,562,390,116
apache/commons-graph,1943,240,845,20,720,859,781
graphstream/gs-core,3989,125,3568,8,116,1768,186
palindromicity/simple-syslog,3060,423,741,36,1240,267,553
andylamp/BPlusTree,1133,570,1073,20,560,145956,142
JetBrains/jetCheck,946,238,1123,79,1893,718,100
stackify/stackify-api-java,87430,275,478,22,407,2328,1055
jenkinsci/cppcheck-plugin,1052,5,13,0,2,20,47
nuxeo/gatling-report,1384,186,82,3,19,91,63
jingpeicomp/id-generator,751,9458,6848,383,4393,10099,210
jkff/ire,1425,569,445,37,602,304,73
umbrant/QuantileEstimation,1084,2938,695,1,2281,288,71
javasoze/kamikaze,1791,29478,1660,2,131,1337,497
meanbeanlib/meanbean,7461,23949,239,12,664,532,230
genepi/haplogrep3,6345,883,3798,160,5171,1274,1205
mgormley/pacaya,6726,1323,2372,132,6098,1452,3304
hankcs/AhoCorasickDoubleArrayTrie,1861,1769,6428,152,8506,2156,6433
Quickhull3d/quickhull3d,822,203,1928,10,728,537,143
jbossas/jboss-dmr,5530,2149,6041,264,14995,4581,8897
arnohaase/a-foundation,2747,1759,7523,86,6225,3920,2282
zhkl0228/TraceReader,644,293,332,28,370,1336,67
OWASP/url-classifier,3994,712,909,49,1755,1347,558
lrozenblyum/chess,20397,3515,7134,225,11528,2667,6013
rpgleparser/rpgleparser,5014,728,3242,93,3605,1329,3421
PeterisP/morphology,6346,5199,17421,744,21762,4395,9829
houbb/segment,2242,141,745,20,1362,411,674
eaftan/hprof-parser,1080,335,657,29,261,548,81
bonnyfone/vectalign,823,107,248,6,260,180,97
yomorun/hashids-java,891,133,197,21,175,69,53
thegedge/java-radix-tree,904,107,287,15,403,119,73
tdunning/bandit-ranking,1455,80,608,10,978,746,229
Kuangcp/NettyBook2,694,37,149,2,682,284,183
thorstenwagner/TraJ,2964,754,6815,38,2680,2597,159
themadcreator/rabinfingerprint,1510,290,1554,22,1255,1297,161
casbin/jcasbin,20912,1237,14445,110,10966,16977,4903
