ASPECTJ,MONITORING,SPECIFICATION,VALG,RVMONITOR,PROJECT,OTHER,
almson-refcount,359,1,1,0,0,2,3807,
AnomalyDetectTool,2054,664,2577,8,1565,3646,4068,
ASM-NonClassloadingExtensions,8311,2737,5531,222,10749,8409,4319,
asterisk-java,16348,28241,15433,1,53955,5808,344741,
attoparser,7143,9219,23462,355,25892,12915,29358,
bplustree,1147,800,17378,42,3050,14098,12231,
btree4j,1973,1944,7945,18,5043,9323,23068,
cassette-nibbler,1633,2065,22158,91,3331,1362,8532,
choco-graph,3584,3238,12220,238,19604,3011,92714,
cocolian-nlp,3079,2098,5576,334,7621,2430,4010,
consistent-hash-algorithm,1638,748,5588,15,4757,707,3405,
databuilderframework,6591,3770,8521,160,16541,22898,6582,
dictomaton,2238,3743,7680,373,16766,1301,7537,
ef-redis,1535,260,3063,13,323,84,3720,
finmath-lib,954,11,6,0,3,2,95,
functional-utils,3630,94,243,0,396,184,1349,
Fuzzino,5763,10316,841,84,161819,2311,1244,
geogrid,958,390,1951,20,1412,16789,8129,
gramtest,2416,2216,3873,127,4727,261,1974,
ik-analyzer,1054,1760,4183,61,6791,1733,3877,
Jaba,1527,1547,5626,188,5758,1133,4727,
jackcess,4536,10,18,0,6,49,40515,
jackson-antpathfilter,4184,11,15,1,15,12737,1785,
jackson-core,4603,1824,3459,17,7244,5778,8594,
JaroWinklerSimilarity,1756,24507,24102,268,65934,3007,26127,
java-concurrent-hash-trie-map,848,1552,2111,25,9745,6146,6834,
javadbf,993,80,2228,2,61,296,195,
java-future-jdk8,1647,22168,288720,11,177247,103846,4751,
java.math.expression.parser,849,2704,28707,270,1330,2652,55742,
java-uuid-generator,898,324,1854,32,1212,514,9879,
java-vector-tile,4216,1490,4861,104,11566,1473,40028,
jcunit,8968,13147,39534,178,62810,3618,34341,
jieba-analysis,1249,1747,4114,59,5849,1178,4857,
jlemmagen,1053,36,151,3,205,134,135,
jpoker,6191,1599,6665,66,1905,840,7638,
kiara,4284,1934,11917,103,12799,2415,3113,
orientdb-jdbc,14127,171891,36727,3025,688964,14381,127459,
osm-lib,5131,1233,4455,32,5833,2777,5255,
pgs-calc,5301,845,2272,29,4317,21505,11901,
PointCloudUtilities,2656,1985,4289,59,15326,1679,3050,
progex,4690,2179,2626,148,4620,756,2541,
QLExpress,6430,16586,15582,80,54091,3510,76584,
route53-infima,1361,426,1380,28,2135,205,1392,
rtree2,9693,1402,2474,152,3097,1421,1673,
rtree-multi,9602,1939,3437,99,3805,1622,1967,
rtree,11639,3535,6348,291,13931,2059,9377,
sensitive-word,1868,2214,20896,695,8929,2061,8137,
SparseBitSet,13414,45576,1748,4,246334,1519,132757,
stringsearchalgorithms,4561,2434,9778,278,9786,3874,7224,
time-series-math,9152,363,5254,48,5047,2384,1342,
TurkishDeasciifier,1879,351,413,10,1373,299,487,
TurkishPropBank,749,235,2447,14,601,279,2413,
TurkishSentiNet,548,562,3875,16,836,415,3613,
TurkishSpellChecker,2264,2475,5676,62,14463,3305,18151,
uuid-creator,1674,37,99,1,165,8541,277,
vowpal-wabbit-java,1747,12080,25448,2738,23934,17408,30605,
xeger,1259,780,2134,54,2292,1009,969,
graphstream/gs-algo,2938,6818,713,15,21770,450,44741
apache/commons-graph,2661,739,1373,20,3982,983,1385
graphstream/gs-core,3959,168,6696,7,1023,1955,2728
palindromicity/simple-syslog,2774,944,1146,61,1230,384,235
andylamp/BPlusTree,1166,1074,1504,33,1991,146452,716
JetBrains/jetCheck,1166,284,1614,67,1508,693,412
stackify/stackify-api-java,107263,351,558,35,681,2419,1185
jenkinsci/cppcheck-plugin,1151,9,11,0,6,40,67
nuxeo/gatling-report,1545,1544,112,3,7997,107,1859
jingpeicomp/id-generator,1075,5736,40396,250,10137,12858,34017
jkff/ire,1080,687,1249,34,998,342,567
umbrant/QuantileEstimation,1074,2695,1149,19,10777,448,28389
javasoze/kamikaze,2269,1145,2371,5,10388,1187,36162
meanbeanlib/meanbean,7508,7318,318,20,19204,583,117084
genepi/haplogrep3,6673,23721,4288,272,68136,1477,14448
mgormley/pacaya,7792,2605,3598,216,6979,1346,7305
hankcs/AhoCorasickDoubleArrayTrie,1326,2737,9359,81,14142,1616,14598
Quickhull3d/quickhull3d,1408,650,2429,18,2831,346,1596
jbossas/jboss-dmr,6031,16186,10931,936,55626,5513,65631
arnohaase/a-foundation,3357,6582,13354,105,24036,6242,31597
zhkl0228/TraceReader,664,1107,461,14,203,1368,969
OWASP/url-classifier,4199,1346,1309,47,2388,1459,2475
lrozenblyum/chess,24202,5238,8699,790,14761,3068,10145
rpgleparser/rpgleparser,5582,1307,4821,94,7509,1739,4327
PeterisP/morphology,6615,9777,26533,1732,36331,4643,26928
houbb/segment,2436,711,1136,22,3147,498,2957
eaftan/hprof-parser,1121,325,775,63,665,524,277
bonnyfone/vectalign,1144,320,307,14,385,164,213
yomorun/hashids-java,803,314,759,8,283,110,663
thegedge/java-radix-tree,833,427,481,27,1595,98,760
tdunning/bandit-ranking,1996,155,1255,9,1000,687,1352
Kuangcp/NettyBook2,588,190,340,4,807,243,1022
thorstenwagner/TraJ,3276,1611,11181,26,6292,2248,4837
themadcreator/rabinfingerprint,2205,601,2423,32,4461,1180,516
casbin/jcasbin,24766,13015,167789,218,59558,29240,322885
