Project, Locations, D1-Pairs, Q1-Pairs, Q2-Pairs, Q3-Pairs, Q4-Pairs, Total-Pairs, Avg.Dist
ASM-NonClassloadingExtensions, 530, 19254, 16830, 4884, 236, 89, 41293, 122.3283
AnomalyDetectTool, 58, 512, 78, 24, 10, 1, 625, 95.2032
Fuzzino, 1233, 3099, 1826, 797, 36, 8, 5766, 9.5274
Jaba, 112, 379, 581, 632, 2036, 1226, 4854, 2008.9011
JaroWinklerSimilarity, 166, 1223, 1854, 2387, 2837, 2175, 10476, 5188.6398
PointCloudUtilities, 436, 39248, 1988, 585, 144, 28, 41993, 6.8117
QLExpress, 858, 130480, 2141, 874, 131, 72, 133698, 53.6449
SparseBitSet, 17, 19932, 1299, 214, 12, 0, 21457, 1.4108
TurkishDeasciifier, 178, 627, 1035, 1724, 1591, 13, 4990, 123.0790
TurkishMorphologicalDisambiguation, 384, 15232, 9222, 2579, 716, 142, 27891, 177.3224
TurkishPropBank, 34, 3, 13, 8, 21, 14, 59, 19828.0678
TurkishSentiNet, 25, 6, 0, 0, 0, 0, 6, 1.0000
TurkishSpellChecker, 395, 14171, 8576, 3943, 1416, 47, 28153, 86.0899
almson-refcount, 23, 0, 1, 0, 0, 0, 1, 2.0000
asterisk-java, 1237, 2119, 880, 214, 27, 3, 3243, 5.6559
attoparser, 239, 71, 125, 81, 9, 459, 745, 213283.6792
bplustree, 98, 32, 41, 9, 7, 2, 91, 113.0110
btree4j, 100, 43, 1130, 163, 48, 13, 1397, 166.6099
cassette-nibbler, 222, 16760, 3748, 688, 63, 2, 21261, 2.9386
choco-graph, 238, 9852, 1070, 487, 319, 438, 12166, 846.6340
cocolian-nlp, 361, 11413, 15850, 5134, 1208, 199, 33804, 113.8272
consistent-hash-algorithm, 24, 0, 0, 0, 0, 3, 3, 10001.0000
databuilderframework, 394, 401, 343, 210, 45, 59, 1058, 16394.1739
dictomaton, 482, 7934, 4292, 993, 108, 33, 13360, 486.8416
ef-redis, 63, 9, 3, 2, 0, 0, 14, 2.8571
finmath-lib, 4003, 2294, 577, 103, 51, 20, 3045, 587.5524
functional-utils, 150, 249, 451, 45, 25, 0, 770, 6.7883
geogrid, 29, 3, 15, 15, 0, 0, 33, 11.4545
gramtest, 141, 237, 152, 182, 340, 148, 1059, 10001.7743
ik-analyzer, 102, 401, 319, 74, 26, 0, 820, 11.8707
