Project,divLocs,totalLocs,divSteps,totalSteps,div (%)
ASM-NonClassloadingExtensions,0,530,"58,060","70,925",81.86
AnomalyDetectTool,0,58,65,721,9.02
Fuzzino,0,"1,233",0,"6,999",0.00
Jaba,0,112,346,"5,141",6.73
JaroWinklerSimilarity,0,166,"8,618","16,027",53.77
PointCloudUtilities,0,436,"10,772","48,603",22.16
QLExpress,0,858,"35,595","156,374",22.76
SparseBitSet,0,17,"1,510","22,014",6.86
TurkishDeasciifier,0,178,"1,568","6,136",25.55
TurkishMorphologicalDisambiguation,0,384,98,"28,324",0.35
TurkishPropBank,0,34,8,97,8.25
TurkishSentiNet,0,25,0,31,0.00
TurkishSpellChecker,0,395,"20,203","38,447",52.55
almson-refcount,0,23,0,24,0.00
asterisk-java,2,"1,239","2,480","5,762",43.04
attoparser,0,239,437,"1,247",35.04
bplustree,0,98,142,263,53.99
btree4j,0,100,"2,892","3,197",90.46
cassette-nibbler,0,222,"22,155","35,232",62.88
choco-graph,0,238,"6,383","15,815",40.36
cocolian-nlp,0,361,"39,983","54,556",73.29
consistent-hash-algorithm,0,24,0,27,0.00
databuilderframework,0,394,"2,059","2,749",74.90
dictomaton,0,482,"5,326","16,944",31.43
ef-redis,0,63,0,77,0.00
finmath-lib,0,"3,941",135,"6,996",1.93
functional-utils,0,150,"1,425","1,716",83.04
geogrid,0,29,96,125,76.80
gramtest,0,141,"2,224","2,645",84.08
ik-analyzer,0,102,6,925,0.65
jackcess,0,"2,068","71,998","96,117",74.91
jackson-antpathfilter,0,173,512,694,73.78
jackson-core,0,"1,420",0,"2,769",0.00
java-concurrent-hash-trie-map,0,81,80,"2,347",3.41
java-future-jdk8,0,116,0,121,0.00
java-uuid-generator,8,127,0,120,0.00
java-vector-tile,0,443,"2,218","3,797",58.41
java.math.expression.parser,0,127,2,136,1.47
javadbf,0,146,222,402,55.22
jcunit,0,475,"11,507","13,769",83.57
jieba-analysis,0,69,224,"1,204",18.60
jlemmagen,0,61,69,"2,133",3.23
jpoker,0,431,351,"1,867",18.80
kiara,0,621,"255,136","267,085",95.53
orientdb-jdbc,0,"1,260","331,515","1,026,392",32.30
osm-lib,1,338,"2,148","4,704",45.66
pgs-calc,1,"1,056","15,454","17,460",88.51
progex,0,"1,214","25,643","62,398",41.10
route53-infima,0,224,"1,180","1,536",76.82
rtree,0,716,"3,456","5,020",68.84
rtree-multi,4,657,"47,132","63,616",74.09
rtree2,4,652,"1,514","2,767",54.72
sensitive-word,0,71,458,566,80.92
stringsearchalgorithms,0,524,"7,578","9,048",83.75
time-series-math,0,525,"1,961","543,540",0.36
uuid-creator,0,166,4,204,1.96
vowpal-wabbit-java,0,157,152,354,42.94
xeger,0,153,"1,192","2,845",41.90
AhoCorasickDoubleArrayTrie,0,92,13,3971,0.33
BPlusTree,0,50,876,1746,50.17
NettyBook2,0,16,0,16,0.00
QuantileEstimation,0,31,0,23285,0.00
TraJ,0,83,5263,5951,88.44
TraceReader,0,33,204,289,70.59
a-foundation,1,319,289,1403,20.60
bandit-ranking,0,26,0,30,0.00
chess,1,1750,29630,38897,76.18
commons-graph,8,403,58822,69421,84.73
cppcheck-plugin,0,2775,1978,8250,23.98
gatling-report,0,73,43482,51326,84.72
gs-algo,0,296,62014,251216,24.69
gs-core,3,457,260,948,27.43
haplogrep3,0,719,95027,127139,74.74
hashids-java,0,30,0,42,0.00
hprof-parser,0,166,0,200,0.00
id-generator,0,145,89,445,20.00
ire,0,165,1829,2420,75.58
java-radix-tree,0,37,8677,8859,97.95
jboss-dmr,0,259,3119,3877,80.45
jcasbin,4,1397,26885,39801,67.55
jetCheck,0,128,2452,3182,77.06
kamikaze,0,230,82,465,17.63
meanbean,0,687,25847,140854,18.35
morphology,0,743,62203,105444,58.99
pacaya,2,1233,4874,6544,74.48
quickhull3d,0,29,49161,126546,38.85
rabinfingerprint,0,30,826,878,94.08
rpgleparser,3,301,11581,17630,65.69
segment,0,123,265,483,54.87
simple-syslog,0,216,2117,3544,59.73
stackify-api-java,0,5351,4686,15666,29.91
url-classifier,0,361,4367,13728,31.81
vectalign,0,82,39454,40318,97.86
