project,baseUniq,baseRed,minSumUniq,maxSumUniq,minSumRed,maxSumRed,minTraces,maxTraces
ASM-NonClassloadingExtensions,"41,823","32,039,262","4,762","41,311","329,281","947,500",11.39,98.78
AnomalyDetectTool,678,"1,322,398",634,662,"37,230","38,180",93.51,97.64
Fuzzino,"6,999","496,535","5,915","6,374","107,794","114,663",84.51,91.07
Jaba,"4,966","22,127,173",480,"1,215","883,151","1,653,099",9.67,24.47
JaroWinklerSimilarity,"11,520","137,413,219","4,808","8,723","18,342,317","22,391,523",41.74,75.72
PointCloudUtilities,"42,099","6,711,271","40,858","41,103","242,729","245,072",97.05,97.63
QLExpress,"134,555","66,766,036","129,514","133,560","2,319,511","3,765,292",96.25,99.26
SparseBitSet,"21,453","139,049","21,452","21,453","43,596","44,178",100.00,100.00
TurkishDeasciifier,"5,382","1,507,014","2,722","4,231","351,650","718,100",50.58,78.61
TurkishMorphologicalDisambiguation,"27,743","13,401,078","25,423","27,312","11,190,967","11,531,723",91.64,98.45
TurkishPropBank,93,"36,922,423",49,58,"113,698","114,208",52.69,62.37
TurkishSentiNet,31,"63,329,640",31,31,"20,027","20,036",100.00,100.00
TurkishSpellChecker,"28,155","24,513,935","23,322","27,163","2,232,378","3,994,061",82.83,96.48
almson-refcount,24,"5,000,206",24,24,"10,023","10,093",100.00,100.00
asterisk-java,"4,464","146,764","3,970","4,328","12,733","22,473",88.93,96.95
attoparser,984,"219,115,697",308,410,"341,412","483,307",31.30,41.67
bplustree,189,"63,526,854",157,175,"121,011","123,303",83.07,92.59
btree4j,"1,543","40,364,908",179,210,"58,291","59,998",11.60,13.61
cassette-nibbler,"27,195","189,018,447","27,170","27,192","290,343","292,929",99.91,99.99
choco-graph,"12,375","15,157,156","9,256","11,172","111,391","368,933",74.80,90.28
cocolian-nlp,"32,407","25,082,518","23,016","27,106","1,444,333","1,753,898",71.02,83.64
consistent-hash-algorithm,27,"56,100,189",24,24,"24,847","25,179",88.89,88.89
databuilderframework,"1,452","52,032,919",814,"1,102","862,196","2,677,389",56.06,75.90
dictomaton,"13,843","42,753,703","11,376","11,731","633,462","868,080",82.18,84.74
ef-redis,77,"40,000,094",68,77,"40,029","40,098",88.31,100.00
finmath-lib,"7,040","306,152,167","6,459","6,665","14,354,274","14,429,089",91.75,94.67
functional-utils,920,"8,975",323,531,942,"2,436",35.11,57.72
geogrid,62,"4,000,514",31,45,"99,143","181,229",50.00,72.58
gramtest,"1,239","25,601,611",467,576,"565,496","747,525",37.69,46.49
ik-analyzer,922,"28,816,137",727,788,"654,773","716,485",78.85,85.47
jackcess,"20,612","1,098,486","16,152","18,337","88,149","109,616",78.36,88.96
jackson-antpathfilter,434,"10,689,731",267,376,"449,479","533,831",61.52,86.64
jackson-core,"2,774","28,554,865","2,511","2,632","217,376","226,556",90.52,94.88
java-concurrent-hash-trie-map,"2,270","319,262","2,160","2,191","15,736","16,425",95.15,96.52
java-future-jdk8,121,"500,012",121,121,"24,880","25,449",100.00,100.00
java-uuid-generator,128,"20,836,476",128,128,"61,608","63,859",100.00,100.00
java-vector-tile,"2,688","15,226,747","1,319","1,906","430,706","524,907",49.07,70.91
java.math.expression.parser,135,"328,001,737",129,135,"160,301","160,813",95.56,100.00
javadbf,271,"137,313",201,233,"7,051","7,770",74.17,85.98
jcunit,"7,573","143,972,458","6,095","6,505","435,373","630,684",80.48,85.90
jieba-analysis,"1,092","18,907,383",290,968,"463,592","1,448,115",26.56,88.64
jlemmagen,"2,096","1,258,470",569,"1,759","60,947","68,953",27.15,83.92
jpoker,"1,717","96,170,771","1,705","1,717","112,782","114,888",99.30,100.00
kiara,"104,716","8,799,383","15,130","15,829","213,309","230,118",14.45,15.12
orientdb-jdbc,"819,676","5,657,548","817,470","818,572","1,315,487","1,431,227",99.73,99.87
osm-lib,"3,500","16,882,324","2,806","3,168","907,362","945,682",80.17,90.51
pgs-calc,"7,733","55,081,234","2,930","3,440","350,530","498,420",37.89,44.48
